Q Q0 dL dH-dL a b dmin dmax-dmin Objective
0.470844 0.889536 0.246003 0.312183 2.46074 0.931429 0.735582 0.0267922 4.04688
0.512369 0.357257 0.309853 0.135545 1.26963 3.01744 0.690994 0.723387 0.605143
0.371886 0.842948 0.50136 0.708832 1.50127 2.59328 -0.081875 0.113088 1.29229
0.67376 0.356312 0.00762866 0.329987 2.46703 3.41977 0.334053 0.159562 1.30016
0.869873 0.98831 0.402452 0.466177 0.952276 1.64107 0.317057 0.943761 0.622743
0.810971 0.96458 0.166126 0.998913 3.10043 3.38727 -0.108945 0.755917 0.569273
0.77435 0.455291 0.483716 0.916967 1.84541 3.63041 0.75408 0.0845156 1.37945
0.971655 0.23106 0.684243 0.0357855 1.26053 3.24617 -0.0665813 0.0343971 0.400386
0.392964 0.840979 0.743581 0.97891 1.94181 2.84665 0.0589157 0.244676 0.870635
0.764926 0.444354 0.597078 0.459894 2.70946 1.17743 0.626924 0.552744 0.674385
0.774524 0.606598 0.39724 0.469479 3.60523 2.9807 0.93046 0.438777 0.881655
0.518416 0.752793 0.300333 0.234039 3.66682 2.37872 -0.0345541 0.889056 0.337791
0.311342 0.388147 0.0553305 0.552463 1.93834 3.05011 0.912624 0.738465 1.05146
0.311729 0.827218 0.815604 0.0172139 2.50282 3.13596 0.766443 0.0569699 0.405539
0.487433 0.754418 0.824773 0.289634 1.43797 1.35766 0.504382 0.186599 0.432787
0.605972 0.527574 0.996176 0.806338 2.33281 3.77669 -0.145986 0.923351 0.323048
0.623312 0.825474 0.712592 0.47777 3.32128 0.905107 -0.123663 0.771577 0.346525
0.299551 0.724423 0.142824 0.914668 2.29993 2.77713 0.0907834 0.475884 0.0892212
0.847793 0.234224 0.136331 0.23776 1.24945 3.1869 0.481588 0.125505 1.0305
0.429272 0.51926 0.0204169 0.0900612 2.84565 1.27466 0.42825 0.931655 0.720429
0.464777 0.303903 -0.0165307 0.399365 2.02151 0.857532 -0.0784799 0.520938 0.4988
0.396862 0.913104 0.776567 0.181784 3.43725 1.98904 0.0889584 0.697536 0.317047
0.654568 0.469195 0.960605 0.410066 3.8468 3.43168 0.258101 0.343558 0.357331
0.274421 0.63095 -0.0607528 0.717596 1.96458 1.42907 -0.189126 0.0358642 1.01152
0.888008 0.688587 -0.0987084 0.96276 2.77929 0.808255 0.258018 0.703945 0.738101
0.854643 0.387742 0.360295 0.384082 3.33458 1.23204 0.687951 0.349443 0.811293
0.663992 0.953437 -0.18856 0.361545 1.38195 3.65557 0.956571 0.746949 0.958571
0.500793 0.554664 0.248147 0.521901 2.10849 2.47925 -0.105616 0.736324 0.274147
0.553473 0.885482 0.983503 0.814268 2.56501 3.34207 0.764371 0.47917 0.312583
0.66476 0.664743 -0.0540532 0.528477 1.33855 2.74707 0.197786 0.95581 0.571595
0.357068 0.719579 0.459098 0.283714 2.0571 3.2312 -0.17246 0.900019 0.294385
0.484137 0.8863 0.0321319 0.693274 3.39398 1.29333 0.586712 0.743677 0.83275
0.270362 0.294684 0.458091 0.502475 2.14398 3.42097 0.0684654 0.171213 0.722859
0.273886 0.285217 0.643491 0.108809 3.09835 2.42844 0.141283 0.693054 0.118549
0.733074 0.471724 0.517871 0.694175 2.11108 1.56353 0.237756 0.976898 0.560141
0.531157 0.483781 -0.0938223 0.290653 1.80207 2.96754 0.901447 0.459004 1.74505
0.345237 0.519399 0.301083 0.289998 3.11182 2.58606 0.74129 0.592581 0.78689
0.540566 0.425479 0.496887 0.464108 1.58318 2.31035 0.572141 0.0979545 0.76896
0.717067 0.561587 0.557034 0.0724632 2.17279 2.33792 0.0135242 0.170598 0.404831
0.625428 0.218912 0.872672 0.386094 3.9157 1.78469 0.989675 0.611298 0.710648
0.679739 0.869806 -0.173043 0.115522 2.48652 2.95629 0.423107 0.281374 1.25877
0.353689 0.448145 0.142288 0.79352 2.99886 3.01977 0.169606 0.462009 0.324794
0.623527 0.399107 0.0278948 0.867091 2.13555 1.85529 0.411334 0.169353 1.63034
0.738626 0.792977 0.636806 0.185107 3.82049 1.86345 0.122261 0.0845831 0.642667
0.926495 0.892359 0.397819 0.898892 2.14775 3.43373 0.731522 0.255944 0.754686
0.606737 0.364795 0.947705 0.561055 3.86777 2.6746 0.341841 0.617668 0.353321
0.526731 0.918719 0.798222 0.434558 2.91417 3.59221 0.526775 0.175843 0.404209
0.460958 0.461142 0.259581 0.428092 1.61093 1.58458 0.353774 0.104878 0.880727
0.696093 0.39485 0.362061 0.606323 2.47656 3.08526 0.577657 0.33962 0.74727
0.657807 0.416217 0.111018 0.675213 0.914245 1.08361 0.527028 0.617314 0.736333
0.202364 0.459424 0.778687 0.449514 3.3924 1.86523 0.283348 0.0448822 1.73511
0.526566 0.887442 -0.135095 0.910437 2.71384 1.81463 0.893972 0.901901 0.975056
0.757844 0.650521 0.706666 0.393403 3.67686 1.59765 0.432426 0.541339 0.559298
0.250394 0.558211 0.50632 0.0966527 3.54814 3.27952 0.682902 0.815873 0.268892
0.309646 0.541968 0.283918 0.96058 1.9661 3.50247 0.240524 0.959178 0.125824
0.93851 0.785549 0.572308 0.258201 2.78723 1.19501 0.0572163 0.50144 0.642478
0.769323 0.461592 -0.0482538 0.90657 2.36667 0.814678 0.14023 0.213234 0.859679
0.852874 0.338438 0.88308 0.317208 1.40337 2.00897 0.86147 0.933236 0.647692
0.907572 0.42872 0.000234597 0.116717 1.50073 2.56357 0.213529 0.872318 0.686578
0.333722 0.43376 0.762198 0.267432 2.19944 3.23959 0.813785 0.837487 0.249239
0.692568 0.398105 0.289211 0.800774 2.66685 2.11655 0.0327559 0.892466 0.53788
0.630774 0.656996 0.540716 0.158425 0.900077 0.833894 0.241407 0.969389 0.404965
0.457824 0.906204 -0.0893177 0.970786 2.36749 2.15441 0.85264 0.985976 0.771302
0.855798 0.957169 0.924684 0.737019 0.888283 1.25584 0.437919 0.34999 0.493031
