Q,Q0,dL,dH-dL,a,b,dmin,dmax-dmin,Objective
0.986608,0.841917,0.0491345,0.609592,1.30189,2.15255,0.109117,0.966217,0.709507
0.67745,0.236605,0.306543,0.100174,1.7828,3.86429,0.507759,0.646768,0.62823
0.87206,0.207681,0.190479,0.980015,3.89089,2.52222,0.790582,0.874267,0.760026
0.651601,0.930597,0.0406037,0.189316,2.41898,0.93688,0.56355,0.939261,0.73016
0.686337,0.491112,0.303978,0.0410112,3.4305,1.85824,0.312609,0.0706205,0.656528
0.690094,0.972168,0.00224162,0.802456,3.65715,1.69003,0.685507,0.580773,0.94163
0.904427,0.693103,0.604399,0.230846,2.03626,1.93758,0.481826,0.0300015,0.437319
0.39431,0.982815,0.763693,0.511093,2.83623,3.39922,-0.0419794,0.780019,0.418648
0.200468,0.711406,-0.129746,0.575511,3.13379,1.58681,0.958361,0.342391,5.21134
0.753093,0.437693,0.509907,0.733673,2.39353,3.71289,0.419127,0.593625,0.57347
0.718901,0.423423,0.290034,0.33209,3.18927,3.37405,-0.178377,0.311226,0.377794
0.989322,0.309627,0.850694,0.13762,1.64523,0.831988,0.779285,0.323284,0.701453
0.611874,0.748637,0.872081,0.942041,3.34752,2.14469,0.126234,0.840175,0.340831
0.456643,0.567784,0.725519,0.391279,1.27206,1.74426,0.0604297,0.494597,0.358355
0.970421,0.594522,0.951738,0.641298,2.93781,3.11094,0.495448,0.297828,0.653493
0.290984,0.714919,0.538578,0.802132,2.6215,2.40468,0.907896,0.212887,1.60792
0.372027,0.240282,0.0835908,0.250978,1.36502,3.61196,0.747229,0.411381,1.50722
0.257464,0.622479,0.684363,0.832763,2.83969,1.00296,0.913824,0.594238,0.536133
0.936172,0.466668,0.226869,0.534661,2.34828,2.05706,0.225677,0.975166,0.688039
0.664611,0.601228,0.67527,0.378529,3.33995,2.03437,0.24318,0.420822,0.382645
0.362473,0.829229,0.261844,0.0792264,1.74302,1.72952,0.00890183,0.196555,0.475506
0.973355,0.651162,-0.167859,0.981701,1.86252,3.18929,0.464418,0.789973,0.724354
0.444059,0.446453,-0.00661334,0.760726,3.30785,2.62173,0.981842,0.541532,1.89836
0.556699,0.947527,0.428675,0.482544,1.43854,1.73267,-0.0540504,0.291628,0.391651
0.733638,0.437684,0.102209,0.745271,1.38823,1.04152,0.68814,0.397805,0.998134
0.300839,0.945298,-0.125782,0.787315,1.1074,2.43803,0.328865,0.20006,1.75778
0.793571,0.925959,0.101852,0.462433,1.76495,3.7507,-0.0717282,0.634723,0.552455
0.956234,0.849202,-0.189369,0.813518,0.991653,2.22664,0.783979,0.0303635,3.00425
0.838214,0.589252,0.175763,0.645298,1.18876,3.03271,0.724605,0.629587,0.737916
0.7607,0.297739,0.567506,0.589363,1.62915,1.92885,0.551236,0.479275,0.610035
0.708291,0.441245,0.379727,0.273733,1.01882,2.7312,0.368478,0.993016,0.540336
0.336035,0.652712,0.968001,0.571073,1.02508,1.57925,0.435578,0.0440197,1.80414
0.307871,0.63107,0.108066,0.0824629,2.49037,2.47754,0.447714,0.918052,0.357763
0.800162,0.440631,0.538028,0.12994,2.77603,1.64809,-0.125471,0.447852,0.466527
0.726829,0.30486,0.841503,0.106132,2.82408,3.95196,0.433541,0.499384,0.455599
0.777727,0.221744,0.0914437,0.600129,3.89294,3.31428,0.887309,0.453821,1.03016
0.947485,0.58423,0.78903,0.439215,2.30821,1.20219,0.870453,0.455477,0.705475
0.639351,0.702476,0.854667,0.0646585,2.26767,2.55711,0.806805,0.381373,0.482996
0.709996,0.960615,0.60112,0.123095,1.90259,2.37335,0.779088,0.759727,0.586071
0.220165,0.464068,0.145043,0.363506,3.38825,3.39008,-0.159512,0.659033,0.121965
0.503664,0.651141,0.0238154,0.832692,2.49722,2.51985,0.0159998,0.155288,0.388294
0.261964,0.382856,0.798971,0.920854,2.98922,1.97267,0.262386,0.201151,0.775106
0.274661,0.712343,-0.19374,0.640161,2.4795,3.00506,0.310416,0.374346,1.03504
0.419665,0.681519,0.582924,0.694259,3.87952,2.88086,0.982979,0.320576,1.22227
0.747575,0.379051,-0.166941,0.317491,3.41757,2.63525,0.400196,0.928368,0.771014
0.683577,0.795198,0.38173,0.559371,2.07556,1.14464,0.982403,0.15863,2.3298
0.430714,0.31557,0.389761,0.465953,1.00974,3.84283,0.196514,0.333495,0.244331
0.499791,0.603141,0.594033,0.214673,3.53408,3.2515,0.770858,0.290068,0.730341
0.517427,0.691646,0.88159,0.9375,2.81639,2.69979,0.0210895,0.380693,0.525975
0.475567,0.620079,-0.00728715,0.543292,1.21295,1.78864,0.99241,0.769394,1.01804
0.243561,0.457631,0.545146,0.0526597,2.36371,3.85405,-0.0561191,0.35144,0.628342
0.417407,0.808749,0.441807,0.747166,2.41098,3.24054,0.72721,0.809033,0.389424
0.599231,0.273302,0.248242,0.69751,2.36784,1.16425,0.968528,0.618208,1.14196
0.253061,0.813747,0.603299,0.436598,1.35972,1.89748,0.882657,0.0417421,5.13245
0.573787,0.87353,-0.0311294,0.0948746,0.81622,3.85882,-0.0626896,0.549129,0.38906
0.977549,0.629609,0.039858,0.147085,1.27904,3.64803,0.949704,0.309012,0.766849
0.69527,0.842404,0.613717,0.637844,1.43676,3.56657,0.650666,0.799935,0.527872
0.730549,0.587689,0.340758,0.0513543,3.58488,3.1393,0.498416,0.27348,0.743814
0.749462,0.721864,0.175829,0.696097,3.72438,2.99205,0.7344,0.365364,0.983159
0.881229,0.628347,0.0192837,0.995739,2.23828,0.977641,0.984207,0.20751,1.25816
